id,Density_g_cm3,Space_group,Reletive_Energy_kJ_mol
1,1.341,1,14.271
2,1.341,1,14.465
3,1.341,1,14.6
4,1.341,1,14.841
5,1.341,1,14.872
6,1.341,82,14.985
7,1.341,1,15.197
8,1.341,1,15.298
9,1.341,1,15.298
10,1.341,1,15.311
11,1.341,1,15.313
12,1.341,1,15.314
13,1.341,1,15.317
14,1.341,1,15.322
15,1.341,1,15.328
16,1.341,1,15.333
17,1.341,1,15.352
18,1.341,5,15.364
19,1.341,5,15.372
20,1.341,1,15.387
21,1.341,5,15.39
22,1.341,1,15.422
23,1.341,1,15.422
24,1.341,1,15.427
25,1.341,1,15.431
26,1.341,1,15.431
27,1.341,1,15.443
28,1.341,1,15.447
29,1.341,1,15.456
30,1.341,1,15.456
31,1.341,1,15.457
32,1.341,1,15.459
33,1.341,1,15.463
34,1.341,1,15.464
35,1.341,1,15.468
36,1.341,1,15.473
37,1.341,1,15.478
38,1.341,1,15.482
39,1.341,5,15.482
40,1.341,1,15.482
41,1.341,1,15.49
42,1.341,1,15.502
43,1.341,1,15.508
44,1.341,1,15.515
45,1.341,1,15.517
46,1.341,1,15.519
47,1.341,1,15.526
48,1.341,1,15.532
49,1.341,1,15.535
50,1.341,1,15.551
51,1.341,5,15.563
52,1.341,1,15.567
53,1.341,1,15.569
54,1.341,1,15.572
55,1.341,1,15.583
56,1.341,1,15.584
57,1.341,1,15.586
58,1.341,1,15.601
59,1.341,1,15.602
60,1.341,5,15.611
61,1.341,1,15.612
62,1.341,1,15.614
63,1.341,5,15.615
64,1.341,1,15.622
65,1.341,1,15.626
66,1.341,1,15.63
67,1.341,1,15.63
68,1.341,1,15.644
69,1.341,1,15.651
70,1.341,1,15.66
71,1.341,1,15.663
72,1.341,1,15.669
73,1.341,1,15.671
74,1.341,5,15.682
75,1.341,1,15.683
76,1.341,1,15.683
77,1.341,1,15.685
78,1.341,1,15.686
79,1.341,1,15.686
80,1.341,1,15.687
81,1.341,5,15.688
82,1.341,1,15.693
83,1.341,1,15.7
84,1.341,1,15.703
85,1.341,1,15.705
86,1.341,1,15.721
87,1.341,5,15.731
88,1.341,1,15.744
89,1.341,5,15.749
90,1.341,1,15.75
91,1.341,5,15.756
92,1.341,5,15.759
93,1.341,1,15.766
94,1.341,1,15.768
95,1.341,1,15.773
96,1.341,1,15.78
97,1.341,5,15.813
98,1.341,1,15.819
99,1.341,1,15.819
100,1.341,5,15.846
101,1.341,1,15.859
102,1.341,1,15.871
103,1.341,1,15.881
104,1.341,1,15.887
105,1.34,4,15.917
106,1.341,1,15.919
107,1.341,1,15.92
108,1.341,1,15.938
109,1.341,1,15.95
110,1.341,1,15.961
111,1.341,1,15.987
112,1.341,1,16.002
113,1.341,82,16.018
114,1.341,5,16.038
115,1.341,1,16.12
116,1.341,1,16.165
117,1.341,1,16.172
118,1.341,5,16.276
119,1.341,1,16.591
120,1.341,1,17.819
121,1.341,1,17.987
122,1.341,1,18.048
123,1.341,82,18.114
124,1.341,1,18.179
125,1.341,1,18.224
126,1.341,1,18.272
127,1.341,1,18.273
128,1.341,1,18.302
129,1.341,1,18.318
130,1.341,1,18.348
131,1.341,1,18.358
132,1.341,1,18.54
133,1.341,1,18.571
134,1.341,82,18.626
135,1.341,5,18.677
136,1.341,1,19.185
137,1.341,1,19.77
138,1.341,1,19.919
